Deep_Seq_Number	Sample_Name	Rep
ds813_1	WT_1	Rep1
ds813_2	WT_2	Rep1
ds813_3	WT_3	Rep1
ds813_4	sgn3_1	Rep1
ds813_5	sgn3_2	Rep1
ds813_6	sgn3_3	Rep1
ds813_7	myb36_1	Rep1
ds813_8	myb36_2	Rep1
ds813_9	myb36_3	Rep1
ds813_10	sm_1	Rep1
ds813_11	sm_2	Rep1
ds813_12	sm_3	Rep1
ds813_13	esb1_1	Rep1
ds813_14	esb1_2	Rep1
ds813_15	esb1_3	Rep1
ds813_16	esb1sgn3_1	Rep1
ds813_17	esb1sgn3_2	Rep1
ds813_18	esb1sgn3_3	Rep1
ds813_19	Wtcif_1	Rep1
ds813_20	Wtcif_2	Rep1
ds813_21	Wtcif_3	Rep1
ds813_22	sgn3cif_1	Rep1
ds813_23	sgn3cif_2	Rep1
ds813_24	sgn3cif_3	Rep1
ds813_25	ucc1_38_1	Rep1
ds813_26	ucc1_38_2	Rep1
ds813_27	ucc1_38_3	Rep1
ds813_28	ucc1_38ucc2GK_1	Rep1
ds813_29	ucc1_38ucc2GK_2	Rep1
ds813_30	ucc1_38ucc2GK_3	Rep1
ds813_31	WT_4	Rep2
ds813_32	WT_5	Rep2
ds813_33	WT_6	Rep2
ds813_34	sgn3_4	Rep2
ds813_35	sgn3_5	Rep2
ds813_36	sgn3_6	Rep2
ds813_37	myb36_4	Rep2
ds813_38	myb36_5	Rep2
ds813_39	myb36_6	Rep2
ds813_40	sm_4	Rep2
ds813_41	sm_5	Rep2
ds813_42	sm_6	Rep2
ds813_43	esb1_4	Rep2
ds813_44	esb1_5	Rep2
ds813_45	esb1_6	Rep2
ds813_46	esb1sgn3_4	Rep2
ds813_47	esb1sgn3_5	Rep2
ds813_48	esb1sgn3_6	Rep2
ds813_49	Wtcif_4	Rep2
ds813_50	Wtcif_5	Rep2
ds813_51	Wtcif_6	Rep2
ds813_52	sgn3cif_4	Rep2
ds813_53	sgn3cif_5	Rep2
ds813_54	sgn3cif_6	Rep2
ds813_55	ucc1_38_4	Rep2
ds813_56	ucc1_38_5	Rep2
ds813_57	ucc1_38_6	Rep2
ds813_58	ucc1_38ucc2GK_4	Rep2
ds813_59	ucc1_38ucc2GK_5	Rep2
ds813_60	ucc1_38ucc2GK_6	Rep2
